NUMID,WEIGHT,COLOR,CLARITY,RATER,PRICE
1,0.3,D,VS2,,"$1,302 "
2,0.3,E,VS1,GIA,"$1,510 "
3,0.3,,VVS1,GIA,"$1,510 "
4,0.3,G,VS1,GIA,"$1,260 "
5,0.31,D,VS1,GIA,"$1,641 "
6,0.31,E,VS1,GIA,"$1,555 "
7,0.31,F,VS1,GIA,"$1,427 "
9,0.31,H,VS2,GIA,"$1,126 "
10,0.31,I,VS1,GIA,"$1,126 "
11,0.32,F,VS1,GIA,"$1,468 "
12,0.32,G,,GIA,"$1,202 "
13,0.33,E,VS2,GIA,"$1,327 "
14,0.33,I,VS2,GIA,"$1,098 "
15,0.34,E,VS1,GIA,"$1,693 "
17,0.34,G,VS1,GIA,"$1,410 "
18,0.34,G,VS2,GIA,"$1,269 "
20,0.34,H,VS2,GIA,"$1,222 "
22,0.35,F,VS1,GIA,"$1,593 "
23,0.35,G,VS1,GIA,"$1,447 "
27,0.37,F,VS2,GIA,"$1,420 "
28,0.37,H,VS1,GIA,"$1,420 "
29,0.4,F,VS1,GIA,"$1,911 "
30,0.4,H,VS1,GIA,"$1,525 "
31,0.41,F,VS1,GIA,"$1,956 "
32,0.43,H,VVS2,GIA,"$1,747 "
35,0.48,G,VVS2,GIA,"$2,532 "
37,0.5,E,VS1,GIA,"$3,501 "
38,0.5,F,VVS2,GIA,"$3,501 "
39,0.5,F,VS1,GIA,"$3,293 "
41,0.51,F,VVS2,GIA,"$3,567 "
42,0.51,G,VS1,GIA,"$3,205 "
56,0.56,F,VS1,GIA,"$3,667 "
57,0.56,I,VVS2,GIA,"$2,892 "
60,0.6,F,VS1,GIA,"$4,291 "
63,0.64,G,VVS1,GIA,"$4,759 "
67,0.7,,VVS2,GIA,"$5,122 "
69,0.71,F,VVS2,GIA,"$5,881 "
73,0.72,F,VS2,GIA,"$5,263 "
74,0.8,I,VVS2,GIA,"$5,441 "
78,0.86,H,VVS2,GIA,"$6,882 "
79,0.89,H,VS1,GIA,"$6,709 "
82,0.5,G,VVS1,GIA,"$3,432 "
83,0.51,F,VVS1,GIA,"$3,851 "
85,0.56,E,VS1,GIA,"$3,900 "
86,0.57,H,VVS1,GIA,"$3,415 "
87,0.6,H,IF,GIA,"$4,291 "
92,0.7,F,VS2,GIA,"$5,122 "
94,0.7,H,VVS2,GIA,"$5,122 "
123,1,F,VS2,GIA,"$9,480 "
124,1,G,VVS2,GIA,"$9,896 "
127,1,G,VS2,GIA,
129,1,I,VS1,GIA,"$8,095 "
130,1,I,VS2,GIA,"$7,818 "
133,1.01,E,VS2,GIA,"$9,853 "
134,1.01,F,VS1,GIA,"$10,272 "
135,1.01,F,VS2,GIA,"$9,573 "
152,0.18,F,VVS1,IGI,$823 
153,0.18,,VVS2,IGI,$765 
154,0.18,G,IF,IGI,$803 
176,0.23,F,IF,IGI,"$1,147 "
177,0.23,G,IF,IGI,$995 
178,0.24,H,IF,IGI,"$1,108 "
198,0.31,F,VVS1,IGI,"$1,628 "
200,0.32,H,IF,IGI,"$1,462 "
201,0.33,H,IF,IGI,"$1,503 "
202,0.34,F,VVS1,IGI,"$1,773 "
204,0.35,F,VVS1,IGI,"$1,821 "
205,0.35,,VVS2,IGI,"$1,540 "
208,0.41,I,VVS2,IGI,"$1,506 "
209,0.47,F,VVS2,IGI,"$2,651 "
210,0.48,F,VS1,IGI,"$2,383 "
213,0.51,F,VVS1,IGI,"$3,722 "
217,0.56,G,VVS2,IGI,"$3,470 "
219,0.58,F,VVS1,IGI,"$4,209 "
220,0.58,G,VVS1,IGI,"$3,821 "
222,0.7,G,VVS2,IGI,"$5,326 "
225,0.78,G,VVS2,IGI,"$5,937 "
227,1.01,G,VS1,IGI,"$9,713 "
228,1.01,H,VS2,IGI,"$8,873 "
230,0.5,F,VVS1,HRD,"$3,778 "
232,0.51,F,VVS1,HRD,"$3,851 "
244,0.6,G,VS2,HRD,"$3,421 "
245,0.6,H,VVS1,HRD,"$3,925 "
246,0.61,H,VVS2,HRD,"$3,616 "
247,0.62,I,VVS2,HRD,"$3,615 "
249,0.65,I,VVS2,HRD,"$3,643 "
251,0.7,E,VVS1,HRD,"$6,867 "
253,0.7,G,VVS1,HRD,"$5,800 "
255,0.7,H,VS2,HRD,"$4,346 "
257,0.71,H,,HRD,"$5,193 "
260,0.73,G,VVS1,HRD,"$6,041 "
262,0.8,F,IF,HRD,"$8,611 "
263,0.8,F,VS1,HRD,"$6,905 "
265,0.8,H,VVS2,HRD,"$6,416 "
269,0.81,F,VS1,HRD,"$6,988 "
270,0.81,G,VS1,HRD,"$6,495 "
288,1,H,VS1,HRD,"$9,065 "
290,1,I,VVS1,HRD,"$8,788 "
293,1,I,VS2,HRD,"$7,818 "
